"","Nazwa_Oferty","ID_Oferta","Marka","Model","Cena_Brutto","Rodzaj_Napedu","Typ_Skrzynia","Pojemnosc_Silnika","Typ_Paliwa","Zuzycie_Paliwa_na_100km","Emisja_CO2","Klasa_Emisji","Przebieg_Km","Pierwsza_Rejestracja","Poprzedni_wlasciciel","Kraj","Typ_Sprzedawcy","Moc_Silnika","Liczba_Zdjec","Wyposazenie","Liczba_elementow_wyposazenia"
"1","Cadillac ATS AWD AT8 203 kW","48276303","Cadillac","ATS",133649,"4x4","Automat","1998","Benzyna","8.6","203","Euro 6","29800","12/2018","2","Niemcy","Komis","203",15,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,USB,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,Tempomat,Felgi aluminiowe,Reflektory adaptacyjne,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Reflektory ksenonowe",27
"2","Seat Leon SC 2.0 TSI Cupra 290 213 kW","48311169","Seat","Leon",148649,"4x2","Automat","1984","Benzyna","6.6","154","Euro 6d-TEMP","23650","5/2020","1","Niemcy","Dealer","213",6,"ABS,ESP,System ochrony pieszych,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,USB,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Tylna wycieraczka,Zamek centralny,Czujnik wycieraczek,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach",28
"3","Kia cee'd / Ceed 1.6 SW Vision 100 kW","48265304","Kia","cee'd / Ceed",108899,"4x2","Manual","1598","Diesel","3.8","99","Euro 6","13067","12/2020","1","Niemcy","Dealer","100",19,"ABS,ESP,Funkcja Auto Hold,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Radio,Wyjœcie AUX,USB,Komputer pok³adowy,Radio samochodowe,Pod³okietnik z ty³u,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Felgi aluminiowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,System doœwietlania zakrêtów,Tempomat",24
"4","Seat Leon ST 2.0 TSI 4Drive DSG OPF Cupra 221 kW","48308178","Seat","Leon",187849,"4x4","Automat","1984","Benzyna","7.1","161","Euro 6d-TEMP","25880","11/2019","1","Niemcy","Dealer","221",6,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,Wyjœcie AUX,USB,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Sk³adane siedzenia tylne,Sportowe przednie siedzenia,Klimatyzacja automatyczna",32
"5","Kia Sportage 1.6 2WD MH 100 kW","48302338","Kia","Sportage",126999,"4x2","Manual","1598","Diesel","4.5","146","Euro 6","10950","5/2021","U¿ywany","Francja","Dealer","100",24,"ABS,ESP,Asystent hamowania (EBA, BAS),System start-stop,Czujniki parkowania,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Felgi aluminiowe,Zamek centralny,Przyciemniane szyby,Pod³okietnik z ty³u,Pod³okietnik z przodu,Sk³adane siedzenia tylne,Regulowana kierownica,Tempomat",18
"6","Citroen C4 96 kW","48284610","Citroen","C4",151149,"4x2","Automat","1199","Benzyna","5.9","134","Euro 6","1300","1/2022","1","Niemcy","Dealer","96",17,"ABS,ESP,Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Ekran dotykowy,Komputer pok³adowy,Podgrzewana kierownica,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,£opatki przy kierownicy,Tempomat,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Œwiat³a do jazdy dziennej,Podgrzewana przednia szyba,Zamek centralny,Czujnik wycieraczek",30
"7","Kia Sportage 1.6 2WD MH 100 kW","48289414","Kia","Sportage",124199,"4x2","Manual","1600","Diesel","6","118","Brak klasy emisji","6645","5/2021","U¿ywany","Hiszpania","Dealer","100",15,"ABS,ESP",2
"8","Cupra Formentor 2.0 TSI DSG 4Drive VZ 228 kW","48307741","Cupra","Formentor",197899,"4x4","Automat","1984","Benzyna","7.7","192","Euro 6d","10915","3/2021","1","Niemcy","Dealer","228",19,"ABS,ESP,Alarm,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Czujnik ciœnienia w oponach,Kamera parkowania,Czujniki parkowania przód/ty³,Bluetooth,Radio,USB,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Kierownica wielofunkcyjna,Sportowe przednie siedzenia,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Zamek centralny,Czujnik wycieraczek",26
"9","Jeep Renegade 96 kW","48308731","Jeep","Renegade",134149,"4x2","Manual","1598","Diesel","5","138","Brak klasy emisji","8630","2/2021","Samochód demonstracyjny","Austria","Dealer","96",19,"ABS,Tempomat",2
"10","Mercedes-Benz E 400 d 4Matic T All-Terrain 9G-TRONIC 250 kW","48316851","Mercedes-Benz","E 400",197649,"4x4","Automat","2925","Diesel","5.8","154","Euro 6d-TEMP","98163","10/2018","1","Niemcy","Dealer","250",15,"ABS,ESP,Asystent stabilnoœci (TSA),Funkcja Auto Hold,Asystent hamowania (EBA, BAS),System start-stop,Czujnik martwego pola,Zap³on bezkluczykowy,Wspomaganie kierownicy,Immobiliser,Asystent pasa jazdy,Telefon alarmowy,Czujnik ciœnienia w oponach,Kamera parkowania 360°,Czujniki parkowania przód/ty³,Bluetooth,Zintegrowany streaming muzyki,USB,Kontrola g³osowa,Wifi hotspot,Apple CarPlay,Android auto,Nawigacja,Ekran dotykowy,Komputer pok³adowy,Radio samochodowe,Oœwietlenie ambientowe,Pod³okietnik z przodu,Skórzana kierownica,Kierownica wielofunkcyjna,ISOFIX na tylnych siedzeniach,Ogrzewanie postojowe,£opatki przy kierownicy,Felgi aluminiowe,Automatyczne œwiat³a drogowe,Czujnik zmierzchu,Œwiat³a do jazdy dziennej,Zamek centralny,Czujnik wycieraczek,Przyciemniane szyby,Sprzêg przyczepy",42
